邵氏经典,#genre#
儿子,孙子和种子(1978),https://1080p.huyall.com/play/negJX8Zd/index.m3u8
烦恼的喜事(1982),https://cdn.yzzy33-play.com/20260101/2793_4191ef5f/index.m3u8#https://v.cdnlz19.com/20240419/29151_ead33c6e/index.m3u8
翡翠麻将(1987),https://s1.bfbfvip.com/video/feicuimajiang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://p.bvvvvvvvvv1f.com/video/feicuimajiang/HD%E5%9B%BD%E8%AF%AD/index.m3u8
丰收之后(1964),https://yzzy.play-cdn11.com/20221108/5726_4520f3d1/index.m3u8#https://play.xluuss.com/play/DdwVR81b/index.m3u8
伏虎铁鹰(1993),https://v3.qrssuv.com/wjv3/202401/01/4HBLXjtY0H2/video/1000k_720/hls/index.m3u8#https://v3.fentvoss.com/yyv3/202401/01/4HBLXjtY0H2/video/index.m3u8
飞来的仙鹤(1982),https://v.cdnlz19.com/20240618/37249_ac6e7c3c/index.m3u8
高朋满座(1991),https://v.cdnlz19.com/20240610/36495_4b2edeb1/2000k/hls/mixed.m3u8
哥俩好(1962),https://c1.rrcdnbf6.com/video/geliahao/HD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/RGLaSr6sCL2/video/index.m3u8
鸽子迷的奇遇(1987),https://svip.high22-playback.com/20240504/828_7cfaa5bf/2000k/hls/mixed.m3u8#https://play.xluuss.com/play/kazk2Rrb/index.m3u8
耕云播雨(1960),https://play.modujx15.com/20240823/LsMOglPw/2000kb/hls/index.m3u8
工地青年(1958),https://bfikuncdn.com/20221209/Hq6d4mn8/2000kb/hls/index.m3u8
股疯(1994),https://cdn.yzzy28-play.com/20251024/21173_59aeb10e/index.m3u8#https://vip.lzcdn2.com/20220423/4235_f0b80c80/index.m3u8
锅碗瓢盆交响曲(1983),https://vip.lzcdn2.com/20220414/3213_b5c4ae1e/index.m3u8 
过年(1991),https://vip.ffzy-play6.com/20221112/6307_79a4bfc2/index.m3u8#https://vip.lzcdn2.com/20220414/3245_0be96e4d/index.m3u8
孩子王(1987),https://hd.ijycnd.com/play/7axkYPle/index.m3u8#https://play.xluuss.com/play/DdwpXOre/index.m3u8
好事多磨(1980),https://c1.rrcdnbf2.com/video/haoshiduomo/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/UYMAbhSQKn2/video/index.m3u8
蓝天防线(1977),https://hd.ijycnd.com/play/Le36m99d/index.m3u8#https://play.xluuss.com/play/rb28l9We/index.m3u8
黑楼孤魂(1989),https://play.xluuss.com/play/1aMjGGbW/index.m3u8#https://play.maoyanplay.top/jqp/jkFyjQlc/index.m3u8
黑三角(1977),https://vip.lzcdn2.com/20220525/7646_25896dfc/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/1pRkjfNKvP2/video/index.m3u8
黑影(1991),https://cdn.yzzy27-play.com/20250715/10189_6217b2f7/index.m3u8
红孩儿大话火焰山(2005),https://play.xluuss.com/play/rb2RMzbW/index.m3u8#https://vv.jisuzyv.com/play/DbDEDpyd/index.m3u8
红衣少女(1985),https://v8.qrssuv.com/wjv8/202312/09/FC4uQd8dEQ1/video/index.m3u8
红与白(1987),https://vodcnd08.myqqdd.com/20250731/lssJt45Y/3771kb/hls/index.m3u8
虎穴追踪(1956),https://ukzy.ukubf4.com/20220331/fPq7Gw9p/index.m3u8#https://v.gsuus.com/play/9avZ2gaG/index.m3u8
护士日记(1953),https://c1.rrcdnbf6.com/video/hushiriji/HD国语/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/aTREAK6cKM2/video/index.m3u8
花好月圆(1958),https://hn.bfvvs.com/play/penJVle7/index.m3u8#https://play.xluuss.com/play/mepV66bM/index.m3u8
槐树庄(1962),https://cdn1.ryplay1.com/20240908/7254_11e33d18/index.m3u8
欢腾的小凉河(1976),https://v1.qrssuv.com/wjv1/202308/19/x7bF1djrMd2/video/index.m3u8#https://v1.fentvoss.com/yyv1/202308/19/x7bF1djrMd2/video/index.m3u8
环游地球80天(2004),https://c1.ddbbffcdn.com/video/huanyoudiqiubashitian/HD%E4%B8%AD%E5%AD%97/index.m3u8
荒原杀手(1988),https://c1.rrcdnbf5.com/video/huangyuanshashou/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/DL7cjG8vCj2/video/index.m3u8
天朝国库之谜(1990),https://vip.ffzy-online2.com/20230419/33338_3798c214/index.m3u8#https://v9.hhiklm.com/yyv9/202406/07/Vttk3cqH8k18/video/index.m3u8
黄山来的姑娘(1984),https://v11.fentvoss.com/yyv11/202402/24/kp50WxXL3L3/video/2000k_1080/hls/index.m3u8#https://v11.qrssuv.com/wjv11/202402/24/kp50WxXL3L3/video/index.m3u8
黄土坡的婆姨们(1988),https://s1.bfbfvip.com/video/huangtupodepoyimen/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/20/1MvBgiA3kK2/video/index.m3u8
慧眼丹心(1960),https://play.modujx15.com/20240821/5mOKMbPt/2000kb/hls/index.m3u8
家庭琐事录(1984),https://vodcnd08.myqqdd.com/20250731/XEIxeHy7/3752kb/hls/index.m3u8
嘉陵江边(1960),https://v.gsuus.com/play/xboZ0vXa/index.m3u8#https://play.xluuss.com/play/mepZqRVb/index.m3u8
箭杆河边(1964),https://v1.qrssv.com/202308/19/XnyHt8x8Ks2/video/index.m3u8#https://b2.bdzybf22.com/videos/202508/31/68b3a3f98bcb3e095089ee36/f686g1/index.m3u8
街上流行红裙子(1980),https://v3.fentvoss.com/yyv3/202402/01/Kh0q2Q4VGr2/video/2000k_1080/hls/index.m3u8#https://b2.bdzybf22.com/videos/202507/09/686d4b4f13363f0946311f75/62459f/index.m3u8
今天我休息(1959),https://yzzy.play-cdn7.com/20220630/1830_2012ae9c/index.m3u8#https://play.xluuss.com/play/DdwVRDJb/index.m3u8
金猴降妖(1985),https://yzzy.play-cdn4.com/20220602/16261_97255fb4/index.m3u8#https://v3.qrssuv.com/wjv3/202402/03/dXFS3HyjXg2/video/index.m3u8
锦上添花(1962),https://c1.rrcdnbf5.com/video/jinshangtianhua/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://vip.lzcdn2.com/20220425/4558_462c0245/index.m3u8
京都球侠(1988),https://c1.rrcdnbf2.com/video/jingduqiuxia/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/8es05QP5W62/video/index.m3u8
井(1988),https://play.maoyanplay.top/jqp/l0bc5hzZ/hls/index.m3u8
景颇姑娘(1965),https://hn.bfvvs.com/play/lejYByvd/index.m3u8
菊豆(1992),https://vip.ffzy-play6.com/20221129/9352_69e085f1/index.m3u8#https://play.xluuss.com/play/RdG6G2rb/index.m3u8
孔雀公主(1982),https://p.bvvvvvvvvv1f.com/video/kongquegongzhu/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.xluuss.com/play/Ddwp8l8e/index.m3u8
508疑案(1981),https://v.lzcdn26.com/20241205/103_e639ba45/2000k/hls/mixed.m3u8#https://yzzy.play-cdn11.com/20221114/7680_c6a77cdf/index.m3u8
枯木逢春(1961),https://v.gsuus.com/play/NbWP0rxd/index.m3u8
苦果(1981),https://c1.rrcdnbf4.com/video/kuguo/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.xluuss.com/play/rb28EkJe/index.m3u8
苦恼人的笑(1979),https://v1.qrssuv.com/wjv1/202308/19/2G72gnWzNF2/video/index.m3u8#https://v1.fentvoss.com/yyv1/202308/19/2G72gnWzNF2/video/index.m3u8
快乐的单身汉(1983),https://v.gsuus.com/play/9avwmgbG/index.m3u8#https://play.xluuss.com/play/Ddwxnme1/index.m3u8
来的都是客(1990),https://vip.ffzy-play7.com/20221129/7667_642841a4/index.m3u8#https://yzzy.play-cdn2.com/20220419/14754_c65e81ae/index.m3u8
蓝盾保险箱(1983),https://c1.rrcdnbf6.com/video/landunbaoxianxiang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/20/PuVnNafGDC2/video/index.m3u8
蓝光闪过之后(1979),https://play.hhuus.com/play/DbD70nka/index.m3u8#https://play.xluuss.com/play/1aMZ6Nmb/index.m3u8
离婚大战(1992),https://vip.ffzy-play7.com/20230409/21638_281e50c4/index.m3u8#https://play.xluuss.com/play/Xe08BmKe/index.m3u8
李双双(1962),https://yzzy.play-cdn6.com/20220627/1802_fa8a96bc/index.m3u8#https://play.xluuss.com/play/DdwVRO8b/index.m3u8
良宵血案(1988),https://c1.rrcdnbf6.com/video/liangxiaoxuean/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.xluuss.com/play/1aMZ2z1b/index.m3u8
两家人(1963),https://tyyszywvod5.com/videos/202503/27/67d16d90582cdc10c417044a/c1a616/index.m3u8
流泪的红蜡烛(1983),https://c1.rrcdnbf6.com/video/liuleidehonglazhu/HD%E5%9B%BD%E8%AF%AD/index.m3u8
柳暗花明(1979),https://v1.qrssuv.com/wjv1/202308/20/ENr3YPvVjC2/video/index.m3u8#https://vip.lzcdn2.com/20220525/7649_275ce061/index.m3u8
庐山恋(1980),https://c1.rrcdnbf2.com/video/lushanlian/HD%E5%9B%BD%E8%AF%AD/index.m3u8
